Location,Period,Indicator,SkilledProf,MortRate
Cyprus,2016,Births attended by skilled health personnel (%),95.6,6
Cyprus,2015,Births attended by skilled health personnel (%),97.1,7
Cyprus,2014,Births attended by skilled health personnel (%),97.4,8
Cyprus,2013,Births attended by skilled health personnel (%),99.9,6
Cyprus,2012,Births attended by skilled health personnel (%),98.7,7
Cyprus,2011,Births attended by skilled health personnel (%),98.3,8
Cyprus,2010,Births attended by skilled health personnel (%),98.6,8
Cyprus,2009,Births attended by skilled health personnel (%),98.3,8
Cyprus,2008,Births attended by skilled health personnel (%),97.2,9
Cyprus,2007,Births attended by skilled health personnel (%),98.3,8
Cyprus,2006,Births attended by skilled health personnel (%),98.5,9
Cyprus,2005,Births attended by skilled health personnel (%),99.3,12
Cyprus,2004,Births attended by skilled health personnel (%),95.7,9
Cyprus,2000,Births attended by skilled health personnel (%),97.9,14
Czechia,2017,Births attended by skilled health personnel (%),99.8,3
Czechia,2014,Births attended by skilled health personnel (%),99.8,4
Czechia,2013,Births attended by skilled health personnel (%),99.8,4
Czechia,2012,Births attended by skilled health personnel (%),99.9,4
Czechia,2011,Births attended by skilled health personnel (%),99.9,4
Czechia,2010,Births attended by skilled health personnel (%),99.7,4
Czechia,2009,Births attended by skilled health personnel (%),99.6,4
Czechia,2008,Births attended by skilled health personnel (%),99.6,5
Czechia,2007,Births attended by skilled health personnel (%),99.7,5
Czechia,2006,Births attended by skilled health personnel (%),99.7,5
Czechia,2005,Births attended by skilled health personnel (%),99.8,5
Czechia,2004,Births attended by skilled health personnel (%),99.8,5
Czechia,2003,Births attended by skilled health personnel (%),99.8,6
Czechia,2002,Births attended by skilled health personnel (%),99.8,6
Czechia,2001,Births attended by skilled health personnel (%),99.8,7
Czechia,2000,Births attended by skilled health personnel (%),99.8,7
Democratic People's Republic of Korea,2017,Births attended by skilled health personnel (%),99.5,89
Democratic People's Republic of Korea,2009,Births attended by skilled health personnel (%),100,113
Democratic People's Republic of Korea,2004,Births attended by skilled health personnel (%),97.1,120
Democratic Republic of the Congo,2014,Births attended by skilled health personnel (%),80.1,500
Democratic Republic of the Congo,2010,Births attended by skilled health personnel (%),74.1,542
Democratic Republic of the Congo,2007,Births attended by skilled health personnel (%),64.4,578
Democratic Republic of the Congo,2001,Births attended by skilled health personnel (%),60.7,740
Denmark,2017,Births attended by skilled health personnel (%),94.7,4
Denmark,2016,Births attended by skilled health personnel (%),94.4,4
Denmark,2015,Births attended by skilled health personnel (%),95.4,4
Denmark,2014,Births attended by skilled health personnel (%),95.9,4
Denmark,2013,Births attended by skilled health personnel (%),96.3,4
Denmark,2012,Births attended by skilled health personnel (%),98.2,5
Denmark,2011,Births attended by skilled health personnel (%),98.5,5
Denmark,2010,Births attended by skilled health personnel (%),98.5,5
Denmark,2009,Births attended by skilled health personnel (%),98.7,6
Denmark,2007,Births attended by skilled health personnel (%),97.8,6
Denmark,2006,Births attended by skilled health personnel (%),98.7,6
Denmark,2005,Births attended by skilled health personnel (%),98.8,6
Denmark,2004,Births attended by skilled health personnel (%),98.6,7
Denmark,2003,Births attended by skilled health personnel (%),98.9,7
Denmark,2002,Births attended by skilled health personnel (%),98.8,8
Denmark,2001,Births attended by skilled health personnel (%),98.9,8
Denmark,2000,Births attended by skilled health personnel (%),98.8,8
Djibouti,2012,Births attended by skilled health personnel (%),87.4,262
Djibouti,2006,Births attended by skilled health personnel (%),78.4,361
Djibouti,2003,Births attended by skilled health personnel (%),60.6,449
Dominican Republic,2016,Births attended by skilled health personnel (%),99.8,94
Dominican Republic,2015,Births attended by skilled health personnel (%),99.6,94
Dominican Republic,2014,Births attended by skilled health personnel (%),97.7,94
Dominican Republic,2013,Births attended by skilled health personnel (%),98.7,94
Dominican Republic,2012,Births attended by skilled health personnel (%),98.8,94
Dominican Republic,2011,Births attended by skilled health personnel (%),98.7,95
Dominican Republic,2010,Births attended by skilled health personnel (%),97.8,96
Dominican Republic,2007,Births attended by skilled health personnel (%),97.8,90
Dominican Republic,2006,Births attended by skilled health personnel (%),95.5,86
Ecuador,2017,Births attended by skilled health personnel (%),96.4,59
Ecuador,2016,Births attended by skilled health personnel (%),95.9,61
Ecuador,2015,Births attended by skilled health personnel (%),94.2,63
Ecuador,2014,Births attended by skilled health personnel (%),94.7,65
Ecuador,2013,Births attended by skilled health personnel (%),93.3,67
Ecuador,2012,Births attended by skilled health personnel (%),91.7,71
Ecuador,2011,Births attended by skilled health personnel (%),89.7,76
Ecuador,2010,Births attended by skilled health personnel (%),87.4,78
Ecuador,2009,Births attended by skilled health personnel (%),85.6,80
Ecuador,2008,Births attended by skilled health personnel (%),84,82
Ecuador,2007,Births attended by skilled health personnel (%),82,85
Ecuador,2006,Births attended by skilled health personnel (%),80.6,90
Ecuador,2005,Births attended by skilled health personnel (%),78.5,94
Ecuador,2004,Births attended by skilled health personnel (%),76.4,94
Egypt,2014,Births attended by skilled health personnel (%),91.5,39
Egypt,2008,Births attended by skilled health personnel (%),78.9,45
Egypt,2005,Births attended by skilled health personnel (%),74.2,52
El Salvador,2017,Births attended by skilled health personnel (%),99.9,46
El Salvador,2016,Births attended by skilled health personnel (%),99.9,47
El Salvador,2015,Births attended by skilled health personnel (%),99.9,48
El Salvador,2014,Births attended by skilled health personnel (%),98,49
El Salvador,2013,Births attended by skilled health personnel (%),99.8,50
El Salvador,2012,Births attended by skilled health personnel (%),99.5,52
El Salvador,2011,Births attended by skilled health personnel (%),99,53
El Salvador,2010,Births attended by skilled health personnel (%),98,54
El Salvador,2009,Births attended by skilled health personnel (%),97.5,57
El Salvador,2008,Births attended by skilled health personnel (%),95.5,57
El Salvador,2007,Births attended by skilled health personnel (%),93.1,58
El Salvador,2006,Births attended by skilled health personnel (%),89.6,60
El Salvador,2005,Births attended by skilled health personnel (%),87.2,62
Equatorial Guinea,2011,Births attended by skilled health personnel (%),68.3,308
Eritrea,2010,Births attended by skilled health personnel (%),34.1,567
Estonia,2017,Births attended by skilled health personnel (%),99.2,9
Estonia,2016,Births attended by skilled health personnel (%),99.4,11
Estonia,2015,Births attended by skilled health personnel (%),99.5,10
Estonia,2014,Births attended by skilled health personnel (%),99.4,11
Estonia,2013,Births attended by skilled health personnel (%),99.4,10
Estonia,2012,Births attended by skilled health personnel (%),99.3,12
Estonia,2011,Births attended by skilled health personnel (%),99.4,13
Estonia,2010,Births attended by skilled health personnel (%),99.3,11
Estonia,2009,Births attended by skilled health personnel (%),99.2,14
Estonia,2008,Births attended by skilled health personnel (%),99.3,14
Estonia,2007,Births attended by skilled health personnel (%),99.4,17
Estonia,2006,Births attended by skilled health personnel (%),99.5,16
Estonia,2005,Births attended by skilled health personnel (%),99.6,18
Estonia,2004,Births attended by skilled health personnel (%),99.7,18
Estonia,2003,Births attended by skilled health personnel (%),99.4,20
Estonia,2002,Births attended by skilled health personnel (%),99.5,25
Estonia,2001,Births attended by skilled health personnel (%),99.6,27
Estonia,2000,Births attended by skilled health personnel (%),99.5,29
Eswatini,2014,Births attended by skilled health personnel (%),88.3,434
Eswatini,2010,Births attended by skilled health personnel (%),82,450
Eswatini,2007,Births attended by skilled health personnel (%),69,496
Eswatini,2002,Births attended by skilled health personnel (%),74,534
Ethiopia,2016,Births attended by skilled health personnel (%),27.7,422
Ethiopia,2014,Births attended by skilled health personnel (%),15.5,472
Ethiopia,2011,Births attended by skilled health personnel (%),10,558
Ethiopia,2005,Births attended by skilled health personnel (%),5.7,865
Fiji,2016,Births attended by skilled health personnel (%),99.8,34
Fiji,2015,Births attended by skilled health personnel (%),99.9,35
Fiji,2014,Births attended by skilled health personnel (%),99.7,36
Fiji,2013,Births attended by skilled health personnel (%),99.7,37
Fiji,2012,Births attended by skilled health personnel (%),99.3,38
Fiji,2011,Births attended by skilled health personnel (%),99.6,38
Fiji,2010,Births attended by skilled health personnel (%),99.7,39
Fiji,2009,Births attended by skilled health personnel (%),99.8,40
Fiji,2008,Births attended by skilled health personnel (%),98.8,42
Fiji,2007,Births attended by skilled health personnel (%),99,43
Fiji,2006,Births attended by skilled health personnel (%),99.3,44
Fiji,2005,Births attended by skilled health personnel (%),97.2,46
Fiji,2004,Births attended by skilled health personnel (%),97,47
Fiji,2003,Births attended by skilled health personnel (%),96.7,48
Fiji,2002,Births attended by skilled health personnel (%),96.9,48
Fiji,2001,Births attended by skilled health personnel (%),98.4,49
Fiji,2000,Births attended by skilled health personnel (%),96.9,51
Finland,2017,Births attended by skilled health personnel (%),99.9,3
Finland,2016,Births attended by skilled health personnel (%),99.9,3
Finland,2015,Births attended by skilled health personnel (%),99.9,3
Finland,2014,Births attended by skilled health personnel (%),99.7,3
Finland,2012,Births attended by skilled health personnel (%),99.8,4
Finland,2011,Births attended by skilled health personnel (%),99.7,4
Finland,2010,Births attended by skilled health personnel (%),99.8,4
Finland,2009,Births attended by skilled health personnel (%),99.8,4
Finland,2008,Births attended by skilled health personnel (%),99.8,4
Finland,2007,Births attended by skilled health personnel (%),99.8,4
Finland,2006,Births attended by skilled health personnel (%),99.8,4
Finland,2005,Births attended by skilled health personnel (%),99.8,5
Finland,2004,Births attended by skilled health personnel (%),99.8,5
Finland,2003,Births attended by skilled health personnel (%),99.8,5
Finland,2002,Births attended by skilled health personnel (%),99.8,5
Finland,2001,Births attended by skilled health personnel (%),98.5,5
Finland,2000,Births attended by skilled health personnel (%),98.4,6
France,2017,Births attended by skilled health personnel (%),98,8
France,2016,Births attended by skilled health personnel (%),97.4,8
France,2015,Births attended by skilled health personnel (%),97.7,8
France,2014,Births attended by skilled health personnel (%),98.3,8
France,2013,Births attended by skilled health personnel (%),98.3,9
France,2012,Births attended by skilled health personnel (%),97.1,9
France,2011,Births attended by skilled health personnel (%),96.2,9
France,2010,Births attended by skilled health personnel (%),97.5,9
France,2009,Births attended by skilled health personnel (%),97.9,9
France,2008,Births attended by skilled health personnel (%),98,9
France,2007,Births attended by skilled health personnel (%),98.1,9
France,2006,Births attended by skilled health personnel (%),98.3,9
France,2005,Births attended by skilled health personnel (%),97.9,9
France,2004,Births attended by skilled health personnel (%),98,9
France,2001,Births attended by skilled health personnel (%),99.6,10
Gabon,2012,Births attended by skilled health personnel (%),89.3,292
Gambia,2013,Births attended by skilled health personnel (%),57.2,644
Gambia,2010,Births attended by skilled health personnel (%),56.1,661
Gambia,2006,Births attended by skilled health personnel (%),52.1,716
Georgia,2016,Births attended by skilled health personnel (%),99.9,26
Georgia,2015,Births attended by skilled health personnel (%),99.9,27
Georgia,2014,Births attended by skilled health personnel (%),99.9,29
Georgia,2013,Births attended by skilled health personnel (%),99.9,30
Georgia,2012,Births attended by skilled health personnel (%),99.8,30
Georgia,2011,Births attended by skilled health personnel (%),99.8,32
Georgia,2010,Births attended by skilled health personnel (%),99.6,32
Georgia,2009,Births attended by skilled health personnel (%),99.7,43
Georgia,2008,Births attended by skilled health personnel (%),99.6,39
Georgia,2007,Births attended by skilled health personnel (%),99.4,36
Georgia,2006,Births attended by skilled health personnel (%),98.8,33
Georgia,2005,Births attended by skilled health personnel (%),98.3,39
Georgia,2004,Births attended by skilled health personnel (%),97.5,38
Georgia,2003,Births attended by skilled health personnel (%),97.2,37
Georgia,2002,Births attended by skilled health personnel (%),97.4,42
Georgia,2001,Births attended by skilled health personnel (%),96.6,33
Georgia,2000,Births attended by skilled health personnel (%),95.5,31
Germany,2017,Births attended by skilled health personnel (%),98.8,7
Germany,2016,Births attended by skilled health personnel (%),97.8,5
Germany,2015,Births attended by skilled health personnel (%),98.8,5
Germany,2014,Births attended by skilled health personnel (%),98.6,5
Germany,2013,Births attended by skilled health personnel (%),98.5,5
Germany,2012,Births attended by skilled health personnel (%),98.5,5
Germany,2011,Births attended by skilled health personnel (%),98.4,6
Germany,2010,Births attended by skilled health personnel (%),98.4,6
Germany,2009,Births attended by skilled health personnel (%),98.3,6
Germany,2008,Births attended by skilled health personnel (%),98.5,6
Germany,2007,Births attended by skilled health personnel (%),98.4,6
Germany,2006,Births attended by skilled health personnel (%),98.4,6
Germany,2005,Births attended by skilled health personnel (%),98.2,6
Germany,2004,Births attended by skilled health personnel (%),98.2,6
Germany,2003,Births attended by skilled health personnel (%),98.6,6
Germany,2002,Births attended by skilled health personnel (%),98.6,7
Germany,2001,Births attended by skilled health personnel (%),98.6,7
Germany,2000,Births attended by skilled health personnel (%),98.6,7
Ghana,2017,Births attended by skilled health personnel (%),78.1,308
Ghana,2014,Births attended by skilled health personnel (%),70.8,325
Ghana,2011,Births attended by skilled health personnel (%),67.2,339
Ghana,2008,Births attended by skilled health personnel (%),54.7,342
Ghana,2007,Births attended by skilled health personnel (%),55.2,349
Ghana,2006,Births attended by skilled health personnel (%),49.7,359
Greece,2017,Births attended by skilled health personnel (%),99.93,3
Greece,2016,Births attended by skilled health personnel (%),99.94,3
Greece,2015,Births attended by skilled health personnel (%),99.94,3
Greece,2014,Births attended by skilled health personnel (%),99.93,3
Greece,2013,Births attended by skilled health personnel (%),99.91,3
Greece,2012,Births attended by skilled health personnel (%),99.91,3
Greece,2011,Births attended by skilled health personnel (%),99.96,3
Greece,2010,Births attended by skilled health personnel (%),99.96,3
Greece,2009,Births attended by skilled health personnel (%),99.95,3
Greece,2008,Births attended by skilled health personnel (%),99.97,3
Greece,2007,Births attended by skilled health personnel (%),99.98,3
Greece,2006,Births attended by skilled health personnel (%),99.99,3
Greece,2005,Births attended by skilled health personnel (%),99.97,3
Greece,2004,Births attended by skilled health personnel (%),99.97,3
Greece,2003,Births attended by skilled health personnel (%),99.98,3
Greece,2002,Births attended by skilled health personnel (%),99.96,3
Greece,2001,Births attended by skilled health personnel (%),99.95,3
Greece,2000,Births attended by skilled health personnel (%),99.94,3
Grenada,2017,Births attended by skilled health personnel (%),100,25
Grenada,2016,Births attended by skilled health personnel (%),99.3,25
Grenada,2015,Births attended by skilled health personnel (%),99,25
Grenada,2014,Births attended by skilled health personnel (%),99,26
Grenada,2013,Births attended by skilled health personnel (%),99,27
Grenada,2012,Births attended by skilled health personnel (%),99,28
Grenada,2011,Births attended by skilled health personnel (%),100,28
Grenada,2009,Births attended by skilled health personnel (%),100,30
Grenada,2007,Births attended by skilled health personnel (%),98.8,31
Grenada,2005,Births attended by skilled health personnel (%),100,33
Grenada,2003,Births attended by skilled health personnel (%),100,34
Grenada,2000,Births attended by skilled health personnel (%),100,38
Guatemala,2016,Births attended by skilled health personnel (%),69.8,98
Guatemala,2015,Births attended by skilled health personnel (%),65.5,103
Guatemala,2014,Births attended by skilled health personnel (%),67,107
Guatemala,2013,Births attended by skilled health personnel (%),62.8,113
Guatemala,2012,Births attended by skilled health personnel (%),58.7,118
Guatemala,2010,Births attended by skilled health personnel (%),52.3,129
Guatemala,2009,Births attended by skilled health personnel (%),51.5,131
Guatemala,2007,Births attended by skilled health personnel (%),31.4,132
Guinea,2016,Births attended by skilled health personnel (%),62.7,621
Guinea,2012,Births attended by skilled health personnel (%),45.3,744
Guinea,2007,Births attended by skilled health personnel (%),46.1,772
Guinea,2005,Births attended by skilled health personnel (%),38,920
Guinea,2003,Births attended by skilled health personnel (%),48.7,1080
Guinea-Bissau,2014,Births attended by skilled health personnel (%),45,711
Guinea-Bissau,2010,Births attended by skilled health personnel (%),43,779
Guinea-Bissau,2006,Births attended by skilled health personnel (%),31,912
Guyana,2015,Births attended by skilled health personnel (%),95.8,172
Guyana,2014,Births attended by skilled health personnel (%),85.7,174
Guyana,2013,Births attended by skilled health personnel (%),98.3,175
Guyana,2009,Births attended by skilled health personnel (%),87.4,185
Guyana,2008,Births attended by skilled health personnel (%),96,192
Guyana,2007,Births attended by skilled health personnel (%),93.3,208
Guyana,2006,Births attended by skilled health personnel (%),96.6,221
Guyana,2005,Births attended by skilled health personnel (%),96.7,223
Guyana,2004,Births attended by skilled health personnel (%),95.9,220
Haiti,2017,Births attended by skilled health personnel (%),41.6,480
Haiti,2013,Births attended by skilled health personnel (%),48.6,496
Haiti,2012,Births attended by skilled health personnel (%),37.3,500
Haiti,2006,Births attended by skilled health personnel (%),26.1,467
Honduras,2017,Births attended by skilled health personnel (%),74,65
Honduras,2016,Births attended by skilled health personnel (%),79,65
Honduras,2015,Births attended by skilled health personnel (%),72,67
Honduras,2012,Births attended by skilled health personnel (%),82.8,70
Honduras,2006,Births attended by skilled health personnel (%),66.3,77
Hungary,2017,Births attended by skilled health personnel (%),99.7,12
Hungary,2016,Births attended by skilled health personnel (%),99.7,12
Hungary,2015,Births attended by skilled health personnel (%),99.6,12
Hungary,2014,Births attended by skilled health personnel (%),99.2,12
Hungary,2013,Births attended by skilled health personnel (%),99.1,12
Hungary,2012,Births attended by skilled health personnel (%),99,12
Hungary,2011,Births attended by skilled health personnel (%),99,13
Hungary,2010,Births attended by skilled health personnel (%),99.1,13
Hungary,2009,Births attended by skilled health personnel (%),99.6,13
Hungary,2008,Births attended by skilled health personnel (%),99.5,14
Hungary,2007,Births attended by skilled health personnel (%),99.6,15
Hungary,2006,Births attended by skilled health personnel (%),99.7,14
Hungary,2005,Births attended by skilled health personnel (%),99.6,15
Hungary,2004,Births attended by skilled health personnel (%),99.6,15
Hungary,2003,Births attended by skilled health personnel (%),99.6,15
Hungary,2002,Births attended by skilled health personnel (%),99.6,16
Hungary,2001,Births attended by skilled health personnel (%),99.6,15
Hungary,2000,Births attended by skilled health personnel (%),99.5,16
Iceland,2017,Births attended by skilled health personnel (%),98,4
Iceland,2016,Births attended by skilled health personnel (%),97.9,4
Iceland,2015,Births attended by skilled health personnel (%),98.2,4
Iceland,2014,Births attended by skilled health personnel (%),97.8,5
Iceland,2013,Births attended by skilled health personnel (%),98.1,4
Iceland,2012,Births attended by skilled health personnel (%),97.8,4
Iceland,2011,Births attended by skilled health personnel (%),97.9,5
Iceland,2010,Births attended by skilled health personnel (%),98.2,5
Iceland,2009,Births attended by skilled health personnel (%),98.8,5
Iceland,2008,Births attended by skilled health personnel (%),98.7,5
Iceland,2007,Births attended by skilled health personnel (%),98.9,5
Iceland,2006,Births attended by skilled health personnel (%),98.9,5
Iceland,2005,Births attended by skilled health personnel (%),99,5
Iceland,2004,Births attended by skilled health personnel (%),99.4,6
Iceland,2003,Births attended by skilled health personnel (%),99.4,6
Iceland,2002,Births attended by skilled health personnel (%),99.4,6
Iceland,2001,Births attended by skilled health personnel (%),99.5,6
Iceland,2000,Births attended by skilled health personnel (%),99.3,6
India,2016,Births attended by skilled health personnel (%),81.4,150
India,2014,Births attended by skilled health personnel (%),81.4,166
India,2008,Births attended by skilled health personnel (%),52.3,240
India,2006,Births attended by skilled health personnel (%),46.6,270
Indonesia,2017,Births attended by skilled health personnel (%),93.25,177
Indonesia,2016,Births attended by skilled health personnel (%),92.6,184
Indonesia,2013,Births attended by skilled health personnel (%),87.4,207
Indonesia,2012,Births attended by skilled health personnel (%),83.1,214
Indonesia,2007,Births attended by skilled health personnel (%),73,243
Iran (Islamic Republic of),2014,Births attended by skilled health personnel (%),99,17
Iran (Islamic Republic of),2013,Births attended by skilled health personnel (%),98.8,17
Iran (Islamic Republic of),2012,Births attended by skilled health personnel (%),98.8,18
Iran (Islamic Republic of),2011,Births attended by skilled health personnel (%),98.5,19
Iran (Islamic Republic of),2010,Births attended by skilled health personnel (%),96.4,22
Iran (Islamic Republic of),2009,Births attended by skilled health personnel (%),97.7,25
Iran (Islamic Republic of),2005,Births attended by skilled health personnel (%),97.3,34
Iraq,2012,Births attended by skilled health personnel (%),70.4,66
Iraq,2011,Births attended by skilled health personnel (%),90.9,67
Iraq,2007,Births attended by skilled health personnel (%),79.7,138
Iraq,2006,Births attended by skilled health personnel (%),88.5,158
Ireland,2016,Births attended by skilled health personnel (%),99.7,6
Ireland,2015,Births attended by skilled health personnel (%),99.7,6
Ireland,2014,Births attended by skilled health personnel (%),99.7,6
Ireland,2013,Births attended by skilled health personnel (%),99.8,6
Ireland,2012,Births attended by skilled health personnel (%),99.8,6
Ireland,2011,Births attended by skilled health personnel (%),99.8,7
Ireland,2010,Births attended by skilled health personnel (%),99.8,6
Ireland,2009,Births attended by skilled health personnel (%),99.8,7
Ireland,2008,Births attended by skilled health personnel (%),99.8,7
Ireland,2007,Births attended by skilled health personnel (%),99.7,6
Ireland,2006,Births attended by skilled health personnel (%),99.7,6
Ireland,2005,Births attended by skilled health personnel (%),99.7,7
Ireland,2004,Births attended by skilled health personnel (%),99.7,6
Ireland,2003,Births attended by skilled health personnel (%),99.6,6
Ireland,2002,Births attended by skilled health personnel (%),99.5,6
Ireland,2001,Births attended by skilled health personnel (%),99.6,7
Ireland,2000,Births attended by skilled health personnel (%),99.6,7
Italy,2016,Births attended by skilled health personnel (%),99.9,2
Italy,2015,Births attended by skilled health personnel (%),99.9,2
Italy,2014,Births attended by skilled health personnel (%),99.9,2
Italy,2013,Births attended by skilled health personnel (%),99.9,2
Italy,2011,Births attended by skilled health personnel (%),99.9,2
Italy,2010,Births attended by skilled health personnel (%),99.9,2
Italy,2009,Births attended by skilled health personnel (%),99.8,2
Italy,2008,Births attended by skilled health personnel (%),99.8,2
Italy,2007,Births attended by skilled health personnel (%),99.6,2
Italy,2006,Births attended by skilled health personnel (%),99.8,2
Italy,2005,Births attended by skilled health personnel (%),99.8,3
Italy,2004,Births attended by skilled health personnel (%),99.8,3
Italy,2003,Births attended by skilled health personnel (%),99.6,3
Italy,2002,Births attended by skilled health personnel (%),99.6,3
Jamaica,2016,Births attended by skilled health personnel (%),99.7,80
Jamaica,2015,Births attended by skilled health personnel (%),99.9,78
Jamaica,2011,Births attended by skilled health personnel (%),99.1,79
Jamaica,2010,Births attended by skilled health personnel (%),90.1,79
Jamaica,2009,Births attended by skilled health personnel (%),95.7,79
Jamaica,2007,Births attended by skilled health personnel (%),93,79
Jamaica,2005,Births attended by skilled health personnel (%),96.7,80
Japan,2017,Births attended by skilled health personnel (%),99.9,5
Japan,2016,Births attended by skilled health personnel (%),99.8,5
Japan,2015,Births attended by skilled health personnel (%),99.9,5
Japan,2014,Births attended by skilled health personnel (%),99.8,5
Japan,2012,Births attended by skilled health personnel (%),99.8,5
Japan,2011,Births attended by skilled health personnel (%),99.8,6
Japan,2010,Births attended by skilled health personnel (%),99.8,6
Japan,2009,Births attended by skilled health personnel (%),99.8,6
Japan,2008,Births attended by skilled health personnel (%),99.8,6
Japan,2007,Births attended by skilled health personnel (%),99.8,6
Japan,2006,Births attended by skilled health personnel (%),99.8,7
Japan,2005,Births attended by skilled health personnel (%),99.8,7
Japan,2004,Births attended by skilled health personnel (%),99.8,7
Japan,2003,Births attended by skilled health personnel (%),99.8,7
Japan,2002,Births attended by skilled health personnel (%),99.8,8
Japan,2001,Births attended by skilled health personnel (%),99.8,8
Japan,2000,Births attended by skilled health personnel (%),99.8,9
Jordan,2012,Births attended by skilled health personnel (%),99.6,52
Jordan,2007,Births attended by skilled health personnel (%),99.1,56
Kazakhstan,2017,Births attended by skilled health personnel (%),99.9,10
Kazakhstan,2016,Births attended by skilled health personnel (%),99.9,10
Kazakhstan,2015,Births attended by skilled health personnel (%),99.4,12
Kazakhstan,2014,Births attended by skilled health personnel (%),99.99,13
Kazakhstan,2013,Births attended by skilled health personnel (%),99.99,14
Kazakhstan,2012,Births attended by skilled health personnel (%),99.99,17
Kazakhstan,2011,Births attended by skilled health personnel (%),99.9,19
Kazakhstan,2010,Births attended by skilled health personnel (%),99.4,22
Kazakhstan,2009,Births attended by skilled health personnel (%),99.4,24
Kazakhstan,2008,Births attended by skilled health personnel (%),99.3,30
Kazakhstan,2006,Births attended by skilled health personnel (%),99.5,40
Kazakhstan,2005,Births attended by skilled health personnel (%),99.4,43
Kazakhstan,2004,Births attended by skilled health personnel (%),99.4,46
Kazakhstan,2003,Births attended by skilled health personnel (%),99.4,49
Kazakhstan,2002,Births attended by skilled health personnel (%),98.9,52
Kazakhstan,2001,Births attended by skilled health personnel (%),98.5,57
Kazakhstan,2000,Births attended by skilled health personnel (%),98.3,61
Kenya,2014,Births attended by skilled health personnel (%),61.8,358
Kenya,2009,Births attended by skilled health personnel (%),43.8,472
Kiribati,2010,Births attended by skilled health personnel (%),98.3,112
Kiribati,2009,Births attended by skilled health personnel (%),79.8,113
Kiribati,2008,Births attended by skilled health personnel (%),65,115
Kiribati,2005,Births attended by skilled health personnel (%),63,119
Kiribati,2002,Births attended by skilled health personnel (%),76,127
Kiribati,2000,Births attended by skilled health personnel (%),85,136
Kuwait,2016,Births attended by skilled health personnel (%),99.9,12
Kuwait,2015,Births attended by skilled health personnel (%),99.9,11
Kuwait,2014,Births attended by skilled health personnel (%),98.7,11
Kuwait,2013,Births attended by skilled health personnel (%),98.7,11
Kuwait,2012,Births attended by skilled health personnel (%),98.8,11
Kuwait,2011,Births attended by skilled health personnel (%),98.8,10
Kuwait,2010,Births attended by skilled health personnel (%),98.6,10
Kuwait,2009,Births attended by skilled health personnel (%),98.7,10
Kuwait,2008,Births attended by skilled health personnel (%),98.7,10
Kuwait,2007,Births attended by skilled health personnel (%),98.7,10
Kuwait,2006,Births attended by skilled health personnel (%),98.7,10
Kuwait,2005,Births attended by skilled health personnel (%),98.6,10
Kuwait,2004,Births attended by skilled health personnel (%),98.3,10
Kyrgyzstan,2014,Births attended by skilled health personnel (%),99,69
Kyrgyzstan,2013,Births attended by skilled health personnel (%),99,70
Kyrgyzstan,2012,Births attended by skilled health personnel (%),98.8,74
Kyrgyzstan,2011,Births attended by skilled health personnel (%),98.6,79
Kyrgyzstan,2010,Births attended by skilled health personnel (%),98.3,79
Kyrgyzstan,2009,Births attended by skilled health personnel (%),98.5,80
Kyrgyzstan,2008,Births attended by skilled health personnel (%),98.5,81
Kyrgyzstan,2007,Births attended by skilled health personnel (%),98.4,84
Kyrgyzstan,2006,Births attended by skilled health personnel (%),97.6,85
Kyrgyzstan,2005,Births attended by skilled health personnel (%),97.9,82
Kyrgyzstan,2004,Births attended by skilled health personnel (%),98.2,79
Kyrgyzstan,2003,Births attended by skilled health personnel (%),98.9,82
Kyrgyzstan,2002,Births attended by skilled health personnel (%),98.8,83
Kyrgyzstan,2001,Births attended by skilled health personnel (%),98.7,76
Kyrgyzstan,2000,Births attended by skilled health personnel (%),98.6,79
Lao People's Democratic Republic,2017,Births attended by skilled health personnel (%),64.4,185
Lao People's Democratic Republic,2012,Births attended by skilled health personnel (%),40.1,254
Lao People's Democratic Republic,2006,Births attended by skilled health personnel (%),18.9,385
Lao People's Democratic Republic,2005,Births attended by skilled health personnel (%),14.6,410
Latvia,2017,Births attended by skilled health personnel (%),99.9,19
Latvia,2016,Births attended by skilled health personnel (%),99.9,26
Latvia,2015,Births attended by skilled health personnel (%),99.9,23
Latvia,2014,Births attended by skilled health personnel (%),98.1,24
Latvia,2013,Births attended by skilled health personnel (%),98.4,27
Latvia,2012,Births attended by skilled health personnel (%),98.6,23
Latvia,2011,Births attended by skilled health personnel (%),98.6,26
Latvia,2010,Births attended by skilled health personnel (%),98.8,26
Latvia,2009,Births attended by skilled health personnel (%),98.9,28
Latvia,2008,Births attended by skilled health personnel (%),99.1,29
Latvia,2007,Births attended by skilled health personnel (%),99.4,32
Lesotho,2014,Births attended by skilled health personnel (%),77.9,579
Lesotho,2009,Births attended by skilled health personnel (%),61.5,607
Liberia,2013,Births attended by skilled health personnel (%),61.1,674
Liberia,2007,Births attended by skilled health personnel (%),46.3,754
Libya,2013,Births attended by skilled health personnel (%),99.9,58
Libya,2012,Births attended by skilled health personnel (%),99.9,55
Libya,2011,Births attended by skilled health personnel (%),99.9,56
Libya,2010,Births attended by skilled health personnel (%),99.9,53
Libya,2007,Births attended by skilled health personnel (%),98.3,53
Lithuania,2014,Births attended by skilled health personnel (%),100,9
Lithuania,2013,Births attended by skilled health personnel (%),100,10
Lithuania,2012,Births attended by skilled health personnel (%),100,10
